obs,open_stock,high_stock,low_stock,close_stock,volume_stock,open_hsi,high_hsi,low_hsi,close_hsi,volume_hsi,Close_lag1_stock,Close_lag2_stock,Close_lag3_stock,Close_lag4_stock,Close_lag5_stock,Close_lag6_stock,Close_lag7_stock,Close_lag1_hsi,Close_lag2_hsi,Close_lag3_hsi,Close_lag4_hsi,Close_lag5_hsi,Close_lag6_hsi,Close_lag7_hsi,Rolling_Mean_7_stock,Rolling_Std_7_stock,Rolling_Mean_14_stock,Rolling_Std_14_stock,Rolling_Mean_30_stock,Rolling_Std_30_stock,Rolling_Mean_7_hsi,Rolling_Std_7_hsi,Rolling_Mean_14_hsi,Rolling_Std_14_hsi,Rolling_Mean_30_hsi,Rolling_Std_30_hsi,RSI_7_stock,RSI_14_stock,RSI_30_stock,RSI_7_hsi,RSI_14_hsi,RSI_30_hsi,HSI_Return,Price_Change,Volume_Change_Stock,Volume_Change_HSI,Divergence,HSI_Corr_7,HSI_Corr_14,HSI_Corr_30,SMA_7,EMA_7,SMA_14,EMA_14,SMA_30,EMA_30,MACD,MACD_Signal,BB_Middle,BB_Std,BB_Upper,BB_Lower,ATR_14,ATR_30,HSI_Percentage_Change,HSI_Intraday_Volatility,HSI_Momentum_5,HSI_Momentum_7,HSI_Momentum_14,HSI_Momentum_30
1,23.95,24.0,23.2,23.65,11560500,23782.85938,23888.36914,23175.36914,23475.25977,3344858000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.65,,23.65,,23.65,0.0,0.0,,,,,,,-0.012933668113039195,0.0299795743063423,,,,
2,23.6,24.05,23.5,23.85,6040500,23595.57031,23864.30078,23537.65039,23658.91992,2118634900,23.65,,,,,,,23475.25977,,,,,,,,,,,,,,,,,,,,,,,,,0.00782356198821299,0.008456659619450413,-0.47748799792396524,-0.36659944906480335,0.0006330976312374226,,,,,23.699999999999996,,23.676666666666666,,23.662903225806453,0.015954415954418266,0.0031908831908836533,,,,,,,0.0026848094437943305,0.013843716668359797,,,,
3,23.7,24.0,23.6,23.9,6858500,23524.05078,23807.0,23517.51953,23788.92969,2328241400,23.85,23.65,,,,,,23658.91992,23475.25977,,,,,,,,,,,,,,,,,,,,,,,,0.0054951692824360965,0.002096436058700135,0.13541925337306515,0.0989346961102171,-0.0033987332237359613,,,,,23.75,,23.706444444444447,,23.678199791883458,0.03226110177677555,0.009004926908062032,,,,,,,0.011259919155811286,0.012305723733861051,,,,
4,23.9,24.35,23.6,24.2,5462500,23675.25977,23802.76953,23451.92969,23766.68945,2717889700,23.9,23.85,23.65,,,,,23788.92969,23658.91992,23475.25977,,,,,,,,,,,,,,,,,,,,,,,-0.0009348987234741868,0.012552301255230214,-0.20354304877159723,0.16735734533369273,0.0134871999787044,,,,,23.8625,,23.772251851851856,,23.711864321439368,0.06860097127546894,0.020924135781543413,,,,,,,0.0038618237302661326,0.014818838036343984,,,,
5,24.25,24.8,24.15,24.7,10269500,23420.43945,23628.30078,23314.9707,23349.38086,2357402800,24.2,23.9,23.85,23.65,,,,23766.68945,23788.92969,23658.91992,23475.25977,,,,,,,,,,,,,,,,,,,,,,-0.017558549367084897,0.02066115702479343,0.8799999999999999,-0.1326348526947212,0.03821970639187833,,,,,24.071875000000002,,23.895951604938276,,23.775615010378765,0.1361766414379737,0.043974636912829476,,,,,,,-0.003034041703261061,0.013378488506542507,,,,
6,24.65,25.0,24.45,24.9,10190500,23704.50977,23989.7793,23512.5,23983.66016,2120328800,24.7,24.2,23.9,23.85,23.65,,,23349.38086,23766.68945,23788.92969,23658.91992,23475.25977,,,,,,,,,,,,,,,,,,,,,0.027164716006949252,0.00809716599190291,-0.007692682214323954,-0.10056575821493041,-0.01906755001504634,,,,,24.27890625,,24.02982472427984,,23.848155977451103,0.20352308795915874,0.07588432712209534,,,,,,,0.0117762566156625,0.020134535775299365,508.4003899999989,,,
7,25.05,25.05,24.6,24.85,4565000,24090.01953,24097.98047,23907.30078,23996.86914,1778623400,24.9,24.7,24.2,23.9,23.85,23.65,,23983.66016,23349.38086,23766.68945,23788.92969,23658.91992,23475.25977,,24.292857142857144,0.5191568255583375,,,,,23717.101284285716,242.91037200937967,,,,,96.15384615384636,,,68.61950282351333,,,0.0005507491313618829,-0.00200803212851397,-0.5520337569304745,-0.16115679794567705,-0.002558781259875853,,,,24.292857142857144,24.421679687499996,,24.139181427709197,,23.912791075680065,0.24997944249331638,0.11070335019633955,,,,,,,-0.0038667627431351655,0.007915298273732748,337.9492199999986,,,
8,24.9,25.1,24.75,24.9,3289000,24168.41016,24324.83984,24153.7207,24254.85938,1743251800,24.85,24.9,24.7,24.2,23.9,23.85,23.65,23996.86914,23983.66016,23349.38086,23766.68945,23788.92969,23658.91992,23475.25977,24.471428571428568,0.4742161452132908,,,,,23828.472657142855,288.0694550532517,,,,,96.29629629629649,,,73.50035850725192,,,0.010750995827616627,0.002012072434607548,-0.2795180722891566,-0.019887065468721432,-0.00873892339300908,-0.4894849008735105,,,24.471428571428568,24.541259765625,,24.240623904014637,,23.976481974023287,0.28751670667257656,0.14606602149158696,,,,,,,0.003576951045918622,0.007080281196286967,465.92969000000085,779.5996100000011,,
9,24.95,24.95,24.7,24.75,4055000,24070.56055,24214.67969,23916.63086,23995.7207,1413938100,24.9,24.85,24.9,24.7,24.2,23.9,23.85,24254.85938,23996.86914,23983.66016,23349.38086,23766.68945,23788.92969,23658.91992,24.599999999999998,0.39264063297965945,,,,,23876.587054285716,283.11448693889133,,,,,84.61538461538483,,,59.71068734784562,,,-0.01068399020336852,-0.0060240963855421326,0.23289753724536344,-0.18890770684992264,0.004659893817826388,-0.17180878392272142,,,24.599999999999998,24.59344482421875,,24.308540716812686,,24.02638636279598,0.30168388850336214,0.17718959489394198,,,,,,,-0.003109186005225652,0.012382297013020736,229.03125,336.8007800000014,,
10,24.7,25.05,24.6,24.75,4083000,24242.25977,24385.43945,23936.92969,23954.58008,1538105600,24.75,24.9,24.85,24.9,24.7,24.2,23.9,23995.7207,24254.85938,23996.86914,23983.66016,23349.38086,23766.68945,23788.92969,24.721428571428568,0.2429971585175847,,,,,23900.251395714287,281.48474424257427,,,,,84.00000000000026,,,55.03402785128227,,,-0.0017144982021732869,0.0,0.006905055487053113,0.08781678632183398,0.0017144982021732869,-0.13307913017725947,,,24.721428571428568,24.632583618164062,,24.367401954570997,,24.073071113583335,0.309345539356503,0.20362078378645418,,,,,,,-0.011866867723115767,0.018501153120842117,605.1992199999986,165.65038999999888,,
