obs,total_shares,share_std,share_mean,num_participants,total_percent,percent_std,percent_mean,total_share_change,num_significant_changes,top_participant_shares,top_participant_percent,top3_percent
1,3372970646,69646412.88970926,7789770.545034642,433,31.15,0.6586053770524545,0.07193995381062356,0.0,0,2441752233,23.08,19.05
2,3372983646,69490503.45564297,7771851.7188940095,434,31.13,0.6571019091259914,0.07172811059907834,11500.0,4,2441924578,23.08,19.04
3,3372984646,69259961.38938844,7753987.691954023,435,31.13,0.6545965391435727,0.0715632183908046,-2000.0,11,2440940189,23.060000000000002,19.01
4,3372956146,69229228.83143024,7753922.174712644,435,31.13,0.6545271924439844,0.0715632183908046,-28500.0,10,2443389325,23.09,19.04
5,3372673646,69320656.91653167,7771137.433179723,434,31.12,0.6551891609317274,0.07170506912442397,124000.0,4,2443324945,23.08,19.03
6,3372683009,69327062.93006352,7771159.006912443,434,31.119999999999997,0.6553051195061123,0.07170506912442395,363.0,7,2444047274,23.09,19.04
7,3372691009,69482515.24296315,7789124.732101616,433,31.11,0.6568247869766568,0.07184757505773672,11293.0,11,2445373579,23.1,19.060000000000002
8,3372679509,69531643.82365276,7789098.173210162,433,31.1,0.6571047936686261,0.07182448036951501,-11500.0,6,2445551100,23.1,19.060000000000002
9,3372748509,69589224.8249851,7789257.526558892,433,31.12,0.6579678745772536,0.07187066974595843,69000.0,3,2446836580,23.12,19.08
10,3372747009,69572850.40105733,7771306.47235023,434,31.12,0.6575293849172618,0.07170506912442397,-4793.0,3,2446935355,23.12,19.08
11,3372750509,69542296.32394817,7753449.445977012,435,31.14,0.657605286758985,0.07158620689655172,-403000.0,4,2446833455,23.13,19.099999999999998
12,3372911509,69570470.72498487,7753819.56091954,435,31.11,0.6574994500193766,0.07151724137931034,161000.0,5,2447329631,23.12,19.09
13,3372921509,69596039.32968664,7753842.549425287,435,31.11,0.6577958562707238,0.07151724137931034,10000.0,4,2446654109,23.11,19.09
14,3372956727,69610621.43754743,7771789.693548387,434,31.11,0.6578937490463156,0.07168202764976958,46566.0,6,2446385912,23.11,19.09
15,3373012227,69734664.58660209,7789866.575057737,433,31.1,0.6593130169401573,0.07182448036951501,75500.0,6,2446301776,23.11,19.09
16,3372995977,69791518.37041506,7807861.05787037,432,31.080000000000002,0.6598730220724953,0.07194444444444445,-13250.0,11,2444214622,23.1,19.07
17,3372998977,69809368.65353473,7789835.974595843,433,31.09,0.6599635142117092,0.07180138568129331,-17000.0,6,2445979584,23.12,19.09
18,3373015477,69816997.34056069,7789874.0808314085,433,31.080000000000002,0.6599328857499794,0.07177829099307159,16500.0,1,2446898302,23.12,19.09
19,3373001477,69816895.78621894,7789841.748267898,433,31.080000000000002,0.6599328857499794,0.07177829099307159,-14000.0,0,2446888302,23.12,19.09
20,3372953977,69854439.74753442,7789732.048498846,433,31.07,0.6602571504703618,0.07175519630484989,-47500.0,5,2447463224,23.12,19.09
21,3373028977,69844172.83725873,7771956.168202765,434,31.06,0.6602601743511476,0.07156682027649769,74620.0,6,2449014132,23.13,19.11
22,3373048977,70115491.929986,7807983.743055556,432,31.09,0.6630776648829165,0.0719675925925926,23880.0,11,2450464430,23.16,19.150000000000002
23,3373062477,70115621.09272069,7808014.993055556,432,31.09,0.6630776648829165,0.0719675925925926,13500.0,0,2450474430,23.16,19.150000000000002
24,3373045477,70093093.6263179,7789943.364896074,433,31.080000000000002,0.6627218893194823,0.07177829099307159,-39500.0,7,2452105290,23.17,19.16
25,3373174477,70312385.61527036,7808274.252314814,432,31.07,0.6648679811108643,0.0719212962962963,139500.0,10,2452773849,23.18,19.169999999999998
26,3373182477,70423754.21067709,7808292.770833333,432,31.099999999999998,0.6657398026503005,0.07199074074074073,8000.0,5,2454782076,23.2,19.189999999999998
27,3373244477,70494199.70357047,7826553.310904873,431,31.099999999999998,0.6661567894070938,0.07215777262180974,64000.0,16,2453674345,23.169999999999998,19.18
28,3373236977,70535321.96893047,7844737.155813954,430,31.12,0.6669542161888726,0.07237209302325581,-6000.0,21,2456177817,23.21,19.23
29,3373497977,70758475.12539628,7863631.648018648,429,31.15,0.6691804793902068,0.07261072261072261,296000.0,11,2462728942,23.28,19.32
30,3373573477,70713030.14377253,7863807.638694638,429,31.11,0.6686338441684504,0.07251748251748251,74000.0,12,2462179116,23.27,19.32
31,3373767477,70819927.94214521,7901094.793911007,427,31.12,0.6696003939507706,0.07288056206088993,209000.0,25,2464949428,23.29,19.37
32,3373803977,70667771.28997053,7864344.934731935,429,31.11,0.6679237622265874,0.07251748251748251,25500.0,11,2469130982,23.330000000000002,19.42
33,3374713977,70802202.04449761,7884845.740654206,428,31.1,0.6690962893206587,0.07266355140186916,1176000.0,8,2469954029,23.33,19.43
34,3374818977,70819622.90087648,7885091.0677570095,428,31.12,0.6694596655025729,0.07271028037383177,110620.0,17,2471452710,23.36,19.47
35,3375094977,71259130.0114257,7978947.936170213,423,31.12,0.6737148722787362,0.07356973995271868,320500.0,12,2470469960,23.34,19.46
36,3375194477,71239610.89644343,7960364.33254717,424,31.12,0.6732134389324456,0.07339622641509434,82500.0,8,2472055445,23.35,19.47
37,3375244977,71182440.17373843,7960483.436320755,424,31.13,0.6730336761648512,0.07341981132075472,50500.0,10,2472634247,23.37,19.49
38,3375525477,71612162.25656848,7998875.5379146915,422,31.150000000000002,0.6770555182415443,0.07381516587677725,1273000.0,11,2480747153,23.44,19.580000000000002
39,3375674977,71607756.07934916,7980319.094562648,423,31.17,0.6770826162400567,0.07368794326241135,129500.0,14,2484700880,23.48,19.62
40,3375725477,71913294.70046924,7999349.471563981,422,31.18,0.6798002126171409,0.07388625592417061,51500.0,19,2487468108,23.5,19.669999999999998
41,3375961248,72072476.36397897,8038002.971428571,420,31.16,0.681437874642572,0.0741904761904762,256771.0,10,2487144393,23.5,19.689999999999998
42,3375987748,72265772.41993317,8038066.066666666,420,31.16,0.6830575384722245,0.0741904761904762,26500.0,7,2487561262,23.5,19.7
43,3376045768,72197279.13857193,8038204.209523809,420,31.14,0.68243595593902,0.07414285714285715,-203980.0,8,2485090730,23.48,19.68
44,3376062268,72197387.12544501,8038243.4952380955,420,31.14,0.68243595593902,0.07414285714285715,16500.0,0,2485091730,23.48,19.68
45,3376185768,72017385.21275595,8000440.208530806,422,31.13,0.6806729750118014,0.07376777251184834,422000.0,16,2486702176,23.49,19.67
46,3376382268,72239383.37146203,8019910.375296912,421,31.14,0.6831134527790519,0.0739667458432304,-571000.0,14,2489560996,23.529999999999998,19.7
47,3376557268,72590140.75339091,8058609.23150358,419,31.16,0.6861579243335756,0.07436754176610978,824500.0,20,2492318354,23.55,19.72
48,3376667268,72627167.9578594,8058871.761336516,419,31.13,0.6866928359640578,0.07429594272076372,-49000.0,14,2491460497,23.54,19.72
49,3377047268,72792723.48996139,8059778.682577565,419,31.189999999999998,0.6883871712946773,0.07443914081145585,370700.0,13,2496171454,23.599999999999998,19.78
50,3377103268,73059780.14648172,8098568.9880095925,417,31.15,0.6907054426349334,0.07470023980815348,149000.0,14,2497598387,23.6,19.8
51,3377224768,73020033.1412876,8098860.354916067,417,31.13,0.6903976950689916,0.07465227817745804,121500.0,11,2498011563,23.6,19.810000000000002
52,3377415268,72812599.963895,8079940.832535885,418,31.14,0.6880873022268826,0.0744976076555024,190300.0,10,2498764446,23.6,19.83
53,3377577768,72882756.27440488,8080329.588516747,418,31.15,0.688798269372257,0.07452153110047846,162200.0,14,2502195110,23.64,19.86
54,3377600768,73030222.96752802,8080384.612440191,418,31.14,0.6902269888647737,0.0744976076555024,23000.0,15,2506031333,23.669999999999998,19.91
55,3377618768,73287858.2221537,8119275.884615385,416,31.18,0.6928081482006118,0.07495192307692308,21000.0,17,2507380453,23.7,19.93
56,3377679268,73359428.51723027,8138986.187951807,415,31.18,0.6936474478510316,0.07513253012048193,61000.0,10,2507831221,23.69,19.94
57,3377743768,73248623.74797773,8119576.365384615,416,31.18,0.6923885653257735,0.07495192307692308,63500.0,8,2506982549,23.68,19.93
58,3377764268,73276667.21645704,8119625.644230769,416,31.18,0.6924762603707191,0.07495192307692308,13500.0,7,2505374278,23.66,19.91
59,3377770268,73057503.30423766,8080790.114832536,418,31.189999999999998,0.690676845862105,0.07461722488038278,-642500.0,22,2507513176,23.689999999999998,19.96
60,3377840768,72535651.17573962,8042478.019047619,420,31.189999999999998,0.6857657274265248,0.07426190476190475,17000.0,19,2503757959,23.66,19.91
61,3377859768,72367072.80883214,8042523.257142857,420,31.17,0.6842277683171317,0.07421428571428572,58200.0,19,2504380161,23.66,19.93
62,3377862268,72303550.7027963,8023425.814726841,421,31.15,0.6833253703868124,0.07399049881235154,-34400.0,22,2504346024,23.65,19.92
63,3377869268,72240364.2813224,8042545.876190476,420,31.18,0.6831456376706505,0.07423809523809524,482000.0,11,2502715447,23.65,19.91
64,3377862021,72221426.10837707,8042528.621428572,420,31.169999999999998,0.6828524350146634,0.0742142857142857,-7247.0,9,2503049751,23.65,19.91
65,3377816021,72013410.17323928,8061613.415274463,419,31.18,0.680683114066819,0.07441527446300716,-30000.0,14,2502167104,23.64,19.89
66,3377813521,72212912.98397592,8061607.44868735,419,31.19,0.6827977612518595,0.07443914081145585,-2500.0,12,2507120695,23.69,19.94
67,3377815521,72320978.89461514,8061612.221957041,419,31.18,0.6836829124252042,0.07441527446300716,2000.0,13,2509504652,23.71,19.96
68,3377718021,72242347.79285145,8042185.764285714,420,31.15,0.6827898133367984,0.07416666666666666,-572500.0,11,2508171294,23.7,19.95
69,3377691021,72280148.79765707,8061315.085918854,419,31.15,0.6834543111871041,0.0743436754176611,-21208.0,9,2506384326,23.68,19.939999999999998
70,3377671021,72167239.10589826,8042073.8595238095,420,31.14,0.6821410758219731,0.07414285714285715,-24000.0,9,2504021599,23.66,19.92
71,3377541021,72221778.87258285,8041764.335714285,420,31.16,0.6828342323950668,0.0741904761904762,-130000.0,14,2501693842,23.64,19.9
72,3377533021,72347701.32033166,8060937.997613365,419,31.16,0.6838025320714944,0.07436754176610978,-6500.0,13,2498873731,23.6,19.86
73,3377686520,72397650.84129645,8061304.343675418,419,31.16,0.6845553640196366,0.07436754176610978,153499.0,18,2494944917,23.57,19.82
74,3377684020,72216330.3889346,8003990.568720379,422,31.16,0.6827013916237967,0.0738388625592417,-13500.0,10,2494922297,23.57,19.81
75,3377767520,72264805.47314969,8004188.436018958,422,31.14,0.6831430325835371,0.0737914691943128,159500.0,14,2494747115,23.57,19.82
76,3377767020,72037984.15676811,7947687.105882353,425,31.14,0.6807070995537711,0.07327058823529412,-126292.0,16,2493271842,23.54,19.79
77,3377783145,71987418.71008156,7966469.6816037735,424,31.17,0.6805484923135853,0.07351415094339624,25625.0,15,2494342359,23.57,19.81
78,3377858645,72010344.7950962,7966647.747641509,424,31.18,0.6805954377402742,0.07353773584905661,83000.0,13,2492643005,23.54,19.79
79,3377772623,72016920.0026852,7966444.865566038,424,31.189999999999998,0.6807868525079346,0.07356132075471697,-89022.0,11,2491198736,23.53,19.78
80,3377765123,72203392.19770364,7985260.338061466,423,31.19,0.6827583766003165,0.07373522458628842,39500.0,11,2491768798,23.54,19.8
81,3377723623,72429356.71127363,8023096.491686461,421,31.18,0.684664941333488,0.07406175771971496,717500.0,11,2493030784,23.55,19.79
82,3377768123,72536333.73601744,8023202.19239905,421,31.169999999999998,0.6856893219026001,0.07403800475059381,44500.0,11,2496650621,23.59,19.83
83,3377856588,72485143.3589926,8004399.497630332,422,31.14,0.6852038787554359,0.0737914691943128,-669535.0,15,2498656711,23.599999999999998,19.83
84,3377859088,72629850.63573664,8004405.421800948,422,31.2,0.68669242379561,0.07393364928909953,14500.0,14,2502861395,23.65,19.91
85,3378060088,72690517.34093322,8023895.695961995,421,31.16,0.6873636936989402,0.07401425178147268,203500.0,27,2499613111,23.62,19.88
86,3378077588,72553659.59573647,7948417.854117647,425,31.15,0.6857725093040717,0.07329411764705882,-21500.0,10,2503675010,23.66,19.91
87,3378114088,72700390.9608261,7967250.20754717,424,31.15,0.6872014779143036,0.07346698113207546,42000.0,10,2504694191,23.66,19.91
88,3378334588,72787184.65467331,7967770.254716981,424,31.14,0.6881687980871979,0.07344339622641509,203000.0,9,2504330700,23.66,19.91
89,3378322088,72897148.96379824,7986577.040189126,423,31.150000000000002,0.6890910170738577,0.07364066193853429,7500.0,14,2505197523,23.67,19.92
90,3378349088,73046667.72852682,8005566.5592417065,422,31.150000000000002,0.690423047672638,0.07381516587677725,106000.0,8,2504197812,23.66,19.91
91,3378794343,73039389.18806815,7987693.482269503,423,31.16,0.6903450959449108,0.07366430260047281,439755.0,6,2506518123,23.68,19.91
92,3378788843,73129401.00477831,8006608.632701422,422,31.15,0.6915096871811791,0.07381516587677725,15500.0,14,2508848556,23.71,19.94
93,3378936843,73283323.71872154,8006959.3436018955,422,31.169999999999998,0.6927208978714507,0.07386255924170616,148000.0,9,2513465095,23.74,19.96
94,3378946407,73230897.8726193,8006982.007109005,422,31.16,0.6924197322520529,0.0738388625592417,9564.0,10,2512431486,23.74,19.96
95,3378966907,73259859.41302674,8007030.585308057,422,31.18,0.6926293777808198,0.07388625592417061,20500.0,9,2511652663,23.74,19.939999999999998
96,3378980907,73311272.8993049,8007063.7606635075,422,31.19,0.6932053137953478,0.07390995260663508,14000.0,3,2513863376,23.76,19.96
97,3378981907,73185581.74926473,7988136.895981087,423,31.169999999999998,0.6917168126013223,0.07368794326241135,-20000.0,6,2514640821,23.759999999999998,19.96
98,3378921407,73467010.63169974,8025941.58432304,421,31.16,0.69434401367061,0.07401425178147268,-8500.0,10,2515123127,23.76,19.96
99,3378929907,73339922.82186615,8025961.774346793,421,31.18,0.6931864903924608,0.07406175771971496,8500.0,7,2509828102,23.71,19.91
100,3378937907,73228763.86722037,7988032.877068558,423,31.16,0.6921842280228752,0.07366430260047281,-93500.0,11,2512638629,23.740000000000002,19.94
101,3378917407,73154237.54963547,7987984.413711584,423,31.169999999999998,0.6914307009658861,0.07368794326241135,-20500.0,6,2512235550,23.73,19.93
102,3378937957,73282047.03679478,7988032.995271868,423,31.150000000000002,0.6927019584724724,0.07364066193853429,24050.0,10,2514773529,23.76,19.95
103,3378902357,73423237.1472271,8006877.623222749,422,31.16,0.6940462466582221,0.0738388625592417,624900.0,6,2516999832,23.78,19.97
